subfamily,tip_label,male_MW,male_ML,queen_MW,queen_ML,colony_size,queen_number_continuous,caste_number
Myrmicinae,Messor.wasmanni,1.975,3.285714286,2.04,3.653333333,NA,NA,NA
Myrmicinae,Metapone.emersoni,1.5,3.089108911,1.3125,3,NA,NA,NA
Myrmicinae,Metapone.madagascarica,1.152542373,2.442622951,0.98245614,2.823529412,NA,NA,NA
Myrmicinae,Monomorium.creticum,0.90625,1.441176471,0.483606557,1.114754098,NA,NA,NA
Myrmicinae,Monomorium.effractor,0.804878049,1.454545455,0.837837838,1.513513514,NA,NA,NA
Myrmicinae,Monomorium.ergatogyna,0.828125,1.176470588,0.548076923,1.173076923,NA,NA,NA
Myrmicinae,Monomorium.exiguum,0.472222222,0.666666667,0.298913043,0.868421053,NA,NA,NA
Myrmicinae,Monomorium.flavimembra,0.5,0.87804878,0.465517241,1.215517241,NA,NA,NA
Myrmicinae,Monomorium.floricola,0.420454545,0.989583333,0.361702128,0.925531915,NA,NA,NA
Myrmicinae,Monomorium.grassei,0.847826087,1.617021277,0.59375,1.28125,NA,NA,NA
Myrmicinae,Monomorium.hanneli,0.435897436,0.625,0.385869565,0.71875,NA,NA,NA
Myrmicinae,Monomorium.hospitum,0.26119403,0.507352941,0.219858156,0.588652482,NA,NA,NA
Myrmicinae,Monomorium.lepidum,0.703703704,1.205128205,0.405172414,1.007692308,NA,NA,NA
Myrmicinae,Monomorium.madecassum,0.888888889,1.386363636,0.933333333,1.621621622,NA,NA,NA
Myrmicinae,Monomorium.pharaonis,0.5625,1.067567568,0.5,1.379746835,800,30,1
Myrmicinae,Monomorium.setuliferum,0.953488372,1.738095238,0.71875,1.634920635,NA,NA,NA
Myrmicinae,Monomorium.termitobium,0.486842105,0.895348837,0.510638298,1.177777778,NA,NA,NA
Myrmicinae,Mycetarotes.parallelus,0.891566265,1.388888889,0.76056338,1.276923077,110.57,NA,1
Myrmicinae,Mycetosoritis.aspera,0.815789474,1.25,0.71,1.291666667,NA,NA,NA
Myrmicinae,Cyphomyrmex.auritus,0.75,1.133333333,0.737288136,1.233870968,NA,NA,NA
Myrmicinae,Mycocepurus.goeldii,1.057692308,1.871428571,0.85,1.540540541,678.86,1.63,1
Pseudomyrmecinae,Myrcidris.epicharis,0.611111111,1.478873239,0.734375,1.623188406,NA,NA,NA
Myrmicinae,Myrmecina.americana,0.484848485,0.727777778,0.635514019,1.015151515,37,NA,1
Myrmicinae,Myrmecina.graminicola,0.73,1.25,0.672413793,1.050847458,45.92,2.49,1
Formicinae,Myrmecocystus.snellingi,0.712121212,1.338028169,1.646153846,2.323076923,NA,NA,NA
Formicinae,Myrmecocystus.christineae,0.840425532,1.376623377,2.27027027,3.56097561,NA,NA,NA
Formicinae,Myrmecocystus.creightoni,1.045714286,1.479820628,2.037735849,2.777777778,NA,NA,NA
Formicinae,Myrmecocystus.mendax,1.333333333,2.385964912,2.685714286,4.459459459,1991,3.26,2
Formicinae,Myrmecocystus.mexicanus,1.68627451,2.745098039,2.918918919,4.444444444,NA,NA,NA
Formicinae,Myrmecocystus.mimicus,1.283783784,2.133333333,2.197530864,4,97,1,2
Formicinae,Myrmecocystus.testaceus,1.046153846,1.828571429,2.273972603,3.648648649,NA,NA,NA
Formicinae,Myrmecocystus.yuma,0.9375,1.545454545,1.75,2.883333333,NA,NA,NA
Myrmicinae,Myrmica.crassirugis,1.214285714,1.840909091,1.0625,1.9625,NA,NA,NA
Myrmicinae,Myrmica.deplanata,1.146341463,2,1.114285714,1.971830986,NA,NA,NA
Myrmicinae,Myrmica.discontinua,1.105263158,1.894736842,0.914634146,1.585365854,NA,NA,NA
Myrmicinae,Myrmica.displicentia,0.888888889,1.878787879,0.895522388,1.838709677,NA,NA,NA
Myrmicinae,Myrmica.dshungarica,0.8,1.596153846,0.925,1.780487805,NA,NA,NA
Myrmicinae,Myrmica.elbrusi,0.977272727,1.863636364,0.948717949,1.918918919,NA,NA,NA
Myrmicinae,Myrmica.fortior,1.125,1.547619048,1,1.905405405,NA,NA,NA
Myrmicinae,Myrmica.gallienii,1.21875,2.117647059,1.084507042,1.985915493,NA,NA,NA
Myrmicinae,Myrmica.glacialis,0.956521739,1.574074074,0.854166667,1.642857143,NA,NA,NA
Myrmicinae,Myrmica.hellenica,0.847826087,1.711538462,0.921052632,1.688311688,NA,NA,NA
Myrmicinae,Myrmica.incompleta,1.176470588,2,0.865168539,2.21875,NA,NA,1
Myrmicinae,Myrmica.jennyae,0.94,1.48,0.854166667,1.681818182,NA,NA,NA
Myrmicinae,Myrmica.kamtschatica,0.925,1.714285714,0.959459459,1.756756757,NA,NA,NA
Myrmicinae,Myrmica.kurokii,0.709090909,1.240740741,1.043478261,2.268656716,NA,NA,NA
Myrmicinae,Myrmica.latifrons,1.023255814,1.444444444,1.036585366,1.914634146,255,NA,1
Myrmicinae,Myrmica.lobicornis,0.85,1.595238095,0.953846154,1.75,300,1.14,1
Myrmicinae,Myrmica.nefaria,1.045454545,1.413043478,1.084337349,1.625,NA,NA,NA
